taxonKey;scientificName;acceptedTaxonKey;acceptedScientificName;numberOfOccurrences;taxonRank;taxonomicStatus;kingdom;kingdomKey;phylum;phylumKey;class;classKey;order;orderKey;family;familyKey;genus;genusKey;species;speciesKey;iucnRedListCategory
2486630;Clytorhynchus vitiensis (Hartlaub, 1866);2486630;Clytorhynchus vitiensis (Hartlaub, 1866);1145;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Monarchidae;5256;Clytorhynchus;2486628;Clytorhynchus vitiensis;2486630;LC
2486766;Coracina atriceps (S.Muller, 1843);2486766;Coracina atriceps (S.Muller, 1843);492;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Campephagidae;9284;Coracina;2482359;Coracina atriceps;2486766;LC
2487437;Vireo bairdi Ridgway, 1885;2487437;Vireo bairdi Ridgway, 1885;2160;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Vireonidae;9358;Vireo;2487406;Vireo bairdi;2487437;NT
2488778;Trichothraupis melanops (Vieillot, 1818);2488778;Trichothraupis melanops (Vieillot, 1818);31767;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thraupidae;9352;Trichothraupis;2488777;Trichothraupis melanops;2488778;LC
2489005;Acridotheres tristis (Linnaeus, 1766);2489005;Acridotheres tristis (Linnaeus, 1766);1963906;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Sturnidae;9350;Acridotheres;2489003;Acridotheres tristis;2489005;LC
2490210;Rhegmatorhina melanosticta (P.L.Sclater & Salvin, 1880);2490210;Rhegmatorhina melanosticta (P.L.Sclater & Salvin, 1880);1433;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thamnophilidae;5286;Rhegmatorhina;2490209;Rhegmatorhina melanosticta;2490210;LC
2490787;Turdus olivater (Lafresnaye, 1848);2490787;Turdus olivater (Lafresnaye, 1848);5706;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Turdidae;5290;Turdus;2490714;Turdus olivater;2490787;LC
2491392;Atlapetes schistaceus (Boissonneau, 1840);2491392;Atlapetes schistaceus (Boissonneau, 1840);22577;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Passerellidae;9410667;Atlapetes;2491388;Atlapetes schistaceus;2491392;LC
2492037;Junco vulcani (Boucard, 1878);2492037;Junco vulcani (Boucard, 1878);5090;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Passerellidae;9410667;Junco;2492009;Junco vulcani;2492037;LC
2492862;Lanius validirostris Ogilvie-Grant, 1894;2492862;Lanius validirostris Ogilvie-Grant, 1894;378;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Laniidae;9315;Lanius;2483315;Lanius validirostris;2492862;LC
