Species name;Species code;Data source;n;Predictor;Size class;IUCN category;AUC;BoyceI
Galerida theklae;Galthe;Atlas;3342;CLIM;IV;LC;0,89;0,9
Galerida theklae;Galthe;Atlas;3342;CLIM_EFAs;IV;LC;0,88;0,86
Galerida theklae;Galthe;Atlas;3342;EFAs;IV;LC;0,85;0,81
Gallinago gallinago;Galgal;Atlas;81;CLIM;I;LC;0,93;-0,5
Gallinago gallinago;Galgal;Atlas;81;CLIM_EFAs;I;LC;0,91;-0,39
Gallinago gallinago;Galgal;Atlas;81;EFAs;I;LC;0,86;0,18
Gallinula chloropus;Galchl;Atlas;3301;CLIM;IV;LC;0,85;0,75
Gallinula chloropus;Galchl;Atlas;3301;CLIM_EFAs;IV;LC;0,85;0,77
Gallinula chloropus;Galchl;Atlas;3301;EFAs;IV;LC;0,79;0,78
Garrulus glandarius;Gargla;Atlas;4159;CLIM;IV;LC;0,9;0,99
Garrulus glandarius;Gargla;Atlas;4159;CLIM_EFAs;IV;LC;0,89;1
Garrulus glandarius;Gargla;Atlas;4159;EFAs;IV;LC;0,88;1
Glareola pratincola;Glapra;Atlas;259;CLIM;II;LC;0,95;0,98
Glareola pratincola;Glapra;Atlas;259;CLIM_EFAs;II;LC;0,95;0,93
Glareola pratincola;Glapra;Atlas;259;EFAs;II;LC;0,91;0,98
Gypaetus barbatus;Gypbar;Atlas;93;CLIM;I;VU;1;0,9
Gypaetus barbatus;Gypbar;Atlas;93;CLIM_EFAs;I;VU;0,99;0,86
Gypaetus barbatus;Gypbar;Atlas;93;EFAs;I;VU;0,95;0,91
Gyps fulvus;Gypful;Atlas;1255;CLIM;IV;LC;0,87;0,55
Gyps fulvus;Gypful;Atlas;1255;CLIM_EFAs;IV;LC;0,87;0,57
Gyps fulvus;Gypful;Atlas;1255;EFAs;IV;LC;0,94;0,32
Haematopus ostralegus;Haeost;Atlas;18;CLIM;I;VU;1;-0,77
Haematopus ostralegus;Haeost;Atlas;18;CLIM_EFAs;I;VU;1;-0,52
Haematopus ostralegus;Haeost;Atlas;18;EFAs;I;VU;1;-0,9
Hieraaetus pennatus;Hiepen;Atlas;3055;CLIM;IV;LC;0,86;0,69
Hieraaetus pennatus;Hiepen;Atlas;3055;CLIM_EFAs;IV;LC;0,86;0,76
Hieraaetus pennatus;Hiepen;Atlas;3055;EFAs;IV;LC;0,92;0,78
Himantopus himantopus;Himhim;Atlas;1056;CLIM;IV;LC;0,88;0,89
Himantopus himantopus;Himhim;Atlas;1056;CLIM_EFAs;IV;LC;0,86;0,88
Himantopus himantopus;Himhim;Atlas;1056;EFAs;IV;LC;0,84;0,76
Hippolais polyglotta;Hippol;Atlas;4719;CLIM;IV;LC;0,85;0,76
Hippolais polyglotta;Hippol;Atlas;4719;CLIM_EFAs;IV;LC;0,89;0,84
Hippolais polyglotta;Hippol;Atlas;4719;EFAs;IV;LC;0,85;0,71
Hippolais polyglotta;Hippol;Atlas;4719;CLIM;IV;LC;0,854;NA
Hippolais polyglotta;Hippol;Atlas;4719;EFAs;IV;LC;0,856;NA
Hippolais polyglotta;Hippol;Atlas;4719;CLIM_EFAs;IV;LC;0,9;NA
Hirundo rustica;Hirrus;Atlas;5894;CLIM;IV;LC;0,89;0,99
Hirundo rustica;Hirrus;Atlas;5894;CLIM_EFAs;IV;LC;0,89;0,97
Hirundo rustica;Hirrus;Atlas;5894;EFAs;IV;LC;0,97;0,89
Hydrobates pelagicus;Hydpel;Atlas;24;CLIM;I;LC;1;0,49
Hydrobates pelagicus;Hydpel;Atlas;24;CLIM_EFAs;I;LC;1;0,67
Hydrobates pelagicus;Hydpel;Atlas;24;EFAs;I;LC;1;0,23
Iduna opaca;Iduopa;Atlas;10;CLIM;I;LC;1;-0,31
Iduna opaca;Iduopa;Atlas;10;CLIM_EFAs;I;LC;0,99;-0,05
Iduna opaca;Iduopa;Atlas;10;EFAs;I;LC;0,94;0,42
Ixobrychus minutus;Ixomin;Atlas;492;CLIM;II;LC;0,86;0,77
Ixobrychus minutus;Ixomin;Atlas;492;CLIM_EFAs;II;LC;0,86;0,49
Ixobrychus minutus;Ixomin;Atlas;492;EFAs;II;LC;0,76;0,62
Jynx torquilla;Jyntor;Atlas;2083;CLIM;IV;LC;0,85;0,75
Jynx torquilla;Jyntor;Atlas;2083;CLIM_EFAs;IV;LC;0,85;0,86
Jynx torquilla;Jyntor;Atlas;2083;EFAs;IV;LC;0,83;0,73
Lagopus muta;Lagmut;Atlas;63;CLIM;I;NT;1;NA
Lagopus muta;Lagmut;Atlas;63;EFAs;I;NT;0,997;NA
Lagopus muta;Lagmut;Atlas;63;CLIM_EFAs;I;NT;1;NA
Lanius collurio;Lancol;Atlas;1172;CLIM;IV;LC;0,98;0,99
Lanius collurio;Lancol;Atlas;1172;CLIM_EFAs;IV;LC;0,97;1
Lanius collurio;Lancol;Atlas;1172;EFAs;IV;LC;0,96;0,99
Lanius excubitor;Lanexc;Atlas;3886;CLIM;IV;VU;0,869;NA
Lanius excubitor;Lanexc;Atlas;3886;EFAs;IV;VU;0,835;NA
Lanius excubitor;Lanexc;Atlas;3886;CLIM_EFAs;IV;VU;0,865;NA
Lanius minor;Lanmin;Atlas;11;CLIM;I;LC;0,984;NA
Lanius minor;Lanmin;Atlas;11;EFAs;I;LC;0,995;NA
Lanius minor;Lanmin;Atlas;11;CLIM_EFAs;I;LC;0,995;NA
Lanius senator;Lansen;Atlas;4428;CLIM;IV;LC;0,91;0,87
Lanius senator;Lansen;Atlas;4428;CLIM_EFAs;IV;LC;0,91;0,88
Lanius senator;Lansen;Atlas;4428;EFAs;IV;LC;0,89;0,93
Larus audouinii;Laraud;Atlas;15;CLIM;I;LC;0,998;NA
Larus audouinii;Laraud;Atlas;15;EFAs;I;LC;0,943;NA
Larus audouinii;Laraud;Atlas;15;CLIM_EFAs;I;LC;0,985;NA
Larus fuscus;Larfus;Atlas;197;CLIM;II;LC;0,96;0,44
Larus fuscus;Larfus;Atlas;197;CLIM_EFAs;II;LC;0,95;0,43
Larus fuscus;Larfus;Atlas;197;EFAs;II;LC;0,87;0,16
Larus genei;Largen;Atlas;15;CLIM;I;LC;0,996;NA
Larus genei;Largen;Atlas;15;EFAs;I;LC;0,995;NA
Larus genei;Largen;Atlas;15;CLIM_EFAs;I;LC;0,999;NA
Larus michahellis;Larmic;Atlas;540;CLIM;III;LC;0,92;0,89
Larus michahellis;Larmic;Atlas;540;CLIM_EFAs;III;LC;0,9;0,82
Larus michahellis;Larmic;Atlas;540;EFAs;III;LC;0,88;0,51
Larus ridibundus;Larrid;Atlas;250;CLIM;II;LC;0,881;NA
Larus ridibundus;Larrid;Atlas;250;EFAs;II;LC;0,822;NA
Larus ridibundus;Larrid;Atlas;250;CLIM_EFAs;II;LC;0,885;NA
Leiopicus medius;Leimed;Atlas;60;CLIM;I;LC;0,99;0,99
Leiopicus medius;Leimed;Atlas;60;CLIM_EFAs;I;LC;0,99;0,98
Leiopicus medius;Leimed;Atlas;60;EFAs;I;LC;0,98;0,95
Linaria cannabina;Lincan;Atlas;5599;CLIM;IV;LC;0,87;0,76
Linaria cannabina;Lincan;Atlas;5599;CLIM_EFAs;IV;LC;0,98;0,94
Linaria cannabina;Lincan;Atlas;5599;EFAs;IV;LC;0,86;0,86
Locustella luscinioides;Loclus;Atlas;122;CLIM;II;LC;0,94;0,87
Locustella luscinioides;Loclus;Atlas;122;CLIM_EFAs;II;LC;0,9;0,54
Locustella luscinioides;Loclus;Atlas;122;EFAs;II;LC;0,85;0,34
Locustella naevia;Locnae;Atlas;97;CLIM;I;LC;0,98;0,62
Locustella naevia;Locnae;Atlas;97;CLIM_EFAs;I;LC;0,98;0,46
Locustella naevia;Locnae;Atlas;97;EFAs;I;LC;0,95;0,69
Lophophanes cristatus;Lopcri;Atlas;3297;CLIM;IV;LC;0,87;0,98
Lophophanes cristatus;Lopcri;Atlas;3297;CLIM_EFAs;IV;LC;0,88;0,99
Lophophanes cristatus;Lopcri;Atlas;3297;EFAs;IV;LC;0,86;1
Loxia curvirostra;Loxcur;Atlas;1146;CLIM;IV;LC;0,89;0,93
Loxia curvirostra;Loxcur;Atlas;1146;CLIM_EFAs;IV;LC;0,88;0,8
Loxia curvirostra;Loxcur;Atlas;1146;EFAs;IV;LC;0,85;0,93
Lullula arborea;Lularb;Atlas;4276;CLIM;IV;LC;0,86;0,89
Lullula arborea;Lularb;Atlas;4276;CLIM_EFAs;IV;LC;0,86;0,86
Lullula arborea;Lularb;Atlas;4276;EFAs;IV;LC;0,84;0,86
Luscinia megarhynchos;Lusmeg;Atlas;4898;CLIM;IV;LC;0,89;0,88
Luscinia megarhynchos;Lusmeg;Atlas;4898;CLIM_EFAs;IV;LC;0,89;0,83
Luscinia megarhynchos;Lusmeg;Atlas;4898;EFAs;IV;LC;0,86;0,83
Luscinia svecica;Lussve;Atlas;109;CLIM;II;LC;0,97;0,61
Luscinia svecica;Lussve;Atlas;109;CLIM_EFAs;II;LC;0,95;0,43
Luscinia svecica;Lussve;Atlas;109;EFAs;II;LC;0,95;0,16
Marmaronetta angustirostris;Marang;Atlas;41;CLIM;I;VU;0,99;0,92
Marmaronetta angustirostris;Marang;Atlas;41;CLIM_EFAs;I;VU;0,98;0,95
Marmaronetta angustirostris;Marang;Atlas;41;EFAs;I;VU;0,92;0,85
Melanocorypha calandra;Melcal;Atlas;2224;CLIM;IV;LC;0,89;1
Melanocorypha calandra;Melcal;Atlas;2224;CLIM_EFAs;IV;LC;0,91;0,99
Melanocorypha calandra;Melcal;Atlas;2224;EFAs;IV;LC;0,9;1
Merops apiaster;Merapi;Atlas;4483;CLIM;IV;LC;0,92;0,9
Merops apiaster;Merapi;Atlas;4483;CLIM_EFAs;IV;LC;0,92;0,91
Merops apiaster;Merapi;Atlas;4483;EFAs;IV;LC;0,9;0,89
Milvus migrans;Milmig;Atlas;3200;CLIM;IV;LC;0,87;0,75
Milvus migrans;Milmig;Atlas;3200;CLIM_EFAs;IV;LC;0,85;0,7
Milvus migrans;Milmig;Atlas;3200;EFAs;IV;LC;0,82;0,79
Milvus milvus;Milmil;Atlas;1418;CLIM;IV;NT/LC;0,89;0,75
Milvus milvus;Milmil;Atlas;1418;CLIM_EFAs;IV;NT/LC;0,89;0,65
Milvus milvus;Milmil;Atlas;1418;EFAs;IV;NT/LC;0,84;0,56
Monticola saxatilis;Monsax;Atlas;1048;CLIM;IV;LC;0,92;0,98
Monticola saxatilis;Monsax;Atlas;1048;CLIM_EFAs;IV;LC;0,9;0,95
Monticola saxatilis;Monsax;Atlas;1048;EFAs;IV;LC;0,87;0,99
Monticola solitarius;Monsol;Atlas;2060;CLIM;IV;LC;0,85;0,4
Monticola solitarius;Monsol;Atlas;2060;CLIM_EFAs;IV;LC;0,83;0,62
Monticola solitarius;Monsol;Atlas;2060;EFAs;IV;LC;0,81;0,77
Montifringilla nivalis;Monniv;Atlas;70;CLIM;I;LC;0,99;0,89
Montifringilla nivalis;Monniv;Atlas;70;CLIM_EFAs;I;LC;0,99;0,95
Montifringilla nivalis;Monniv;Atlas;70;EFAs;I;LC;0,99;0,8
Motacilla alba;Motalb;Atlas;4730;CLIM;IV;LC;0,87;0,99
Motacilla alba;Motalb;Atlas;4730;CLIM_EFAs;IV;LC;0,86;0,98
Motacilla alba;Motalb;Atlas;4730;EFAs;IV;LC;0,83;0,83
Motacilla cinerea;Motcin;Atlas;3090;CLIM;IV;LC;0,86;0,89
Motacilla cinerea;Motcin;Atlas;3090;CLIM_EFAs;IV;LC;0,86;0,82
Motacilla cinerea;Motcin;Atlas;3090;EFAs;IV;LC;0,85;0,98
Motacilla flava;Motfla;Atlas;1642;CLIM;IV;LC;0,88;0,81
Motacilla flava;Motfla;Atlas;1642;CLIM_EFAs;IV;LC;0,87;0,7
Motacilla flava;Motfla;Atlas;1642;EFAs;IV;LC;0,84;0,71
Muscicapa striata;Musstr;Atlas;2268;CLIM;IV;LC;0,864;NA
Muscicapa striata;Musstr;Atlas;2268;EFAs;IV;LC;0,958;NA
Muscicapa striata;Musstr;Atlas;2268;CLIM_EFAs;IV;LC;0,853;NA
Neophron percnopterus;Neoper;Atlas;1147;CLIM;IV;EN;0,9;0,77
Neophron percnopterus;Neoper;Atlas;1147;CLIM_EFAs;IV;EN;0,89;0,68
Neophron percnopterus;Neoper;Atlas;1147;EFAs;IV;EN;0,85;0,33
Netta rufina;Netruf;Atlas;210;CLIM;II;LC;0,92;0,78
Netta rufina;Netruf;Atlas;210;CLIM_EFAs;II;LC;0,89;0,74
Netta rufina;Netruf;Atlas;210;EFAs;II;LC;0,87;0,49
Numenius arquata;Numarq;Atlas;12;CLIM;I;VU;1;-0,61
Numenius arquata;Numarq;Atlas;12;CLIM_EFAs;I;VU;1;-0,55
Numenius arquata;Numarq;Atlas;12;EFAs;I;VU;0,99;-0,3
Numida meleagris;Nummel;Atlas;10;CLIM;I;LC;0,997;NA
Numida meleagris;Nummel;Atlas;10;EFAs;I;LC;1;NA
Numida meleagris;Nummel;Atlas;10;CLIM_EFAs;I;LC;0,999;NA
Nycticorax nycticorax;Nycnyc;Atlas;270;CLIM;II;LC;0,88;0,43
Nycticorax nycticorax;Nycnyc;Atlas;270;CLIM_EFAs;II;LC;0,9;0,25
Nycticorax nycticorax;Nycnyc;Atlas;270;EFAs;II;LC;0,84;0,27
Oenanthe hispanica;Oenhis;Atlas;3331;CLIM;IV;LC;0,88;0,9
Oenanthe hispanica;Oenhis;Atlas;3331;CLIM_EFAs;IV;LC;0,88;0,99
Oenanthe hispanica;Oenhis;Atlas;3331;EFAs;IV;LC;0,86;0,99
Oenanthe leucura;Oenleu;Atlas;1273;CLIM;IV;VU;0,91;0,94
Oenanthe leucura;Oenleu;Atlas;1273;CLIM_EFAs;IV;VU;0,9;0,97
Oenanthe leucura;Oenleu;Atlas;1273;EFAs;IV;VU;0,85;0,99
Oenanthe oenanthe;Oenoen;Atlas;2521;CLIM;IV;LC;0,93;0,96
Oenanthe oenanthe;Oenoen;Atlas;2521;CLIM_EFAs;IV;LC;0,9;0,95
Oenanthe oenanthe;Oenoen;Atlas;2521;EFAs;IV;LC;0,86;0,94
Oriolus oriolus;Oriori;Atlas;4504;CLIM;IV;LC;0,84;0,75
Oriolus oriolus;Oriori;Atlas;4504;CLIM_EFAs;IV;LC;0,85;0,77
Oriolus oriolus;Oriori;Atlas;4504;EFAs;IV;LC;0,84;0,81
Otis tarda;Otitar;Atlas;632;CLIM;III;LC;0,91;0,82
Otis tarda;Otitar;Atlas;632;CLIM_EFAs;III;LC;0,91;0,99
Otis tarda;Otitar;Atlas;632;EFAs;III;LC;0,91;0,99
Otus scops;Otusco;Atlas;3680;CLIM;IV;LC;0,82;0,69
Otus scops;Otusco;Atlas;3680;CLIM_EFAs;IV;LC;0,81;0,62
Otus scops;Otusco;Atlas;3680;EFAs;IV;LC;0,86;0,87
Oxyura leucocephala;Oxyleu;Atlas;57;CLIM;I;EN;0,96;0,81
Oxyura leucocephala;Oxyleu;Atlas;57;CLIM_EFAs;I;EN;0,96;0,78
Oxyura leucocephala;Oxyleu;Atlas;57;EFAs;I;EN;0,93;0,71
Pandion haliaetus;Panhal;Atlas;23;CLIM;I;LC;0,96;-0,04
Pandion haliaetus;Panhal;Atlas;23;CLIM_EFAs;I;LC;0,94;0,07
Pandion haliaetus;Panhal;Atlas;23;EFAs;I;LC;0,95;-0,06
Panurus biarmicus;Panbia;Atlas;53;CLIM;I;LC;0,95;0,84
Panurus biarmicus;Panbia;Atlas;53;CLIM_EFAs;I;LC;0,94;0,67
Panurus biarmicus;Panbia;Atlas;53;EFAs;I;LC;0,89;0,75
Parus major;Parmaj;Atlas;5745;CLIM;IV;LC;0,87;0,95
Parus major;Parmaj;Atlas;5745;CLIM_EFAs;IV;LC;0,85;0,94
Parus major;Parmaj;Atlas;5745;EFAs;IV;LC;0,79;0,76
Passer domesticus;Pasdom;Atlas;5936;CLIM;IV;LC;0,92;0,99
Passer domesticus;Pasdom;Atlas;5936;CLIM_EFAs;IV;LC;0,95;0,91
Passer domesticus;Pasdom;Atlas;5936;EFAs;IV;LC;0,98;0,88
Passer hispaniolensis;Pashis;Atlas;910;CLIM;III;LC;0,92;0,86
Passer hispaniolensis;Pashis;Atlas;910;CLIM_EFAs;III;LC;0,92;0,98
Passer hispaniolensis;Pashis;Atlas;910;EFAs;III;LC;0,89;1
Passer montanus;Pasmon;Atlas;3634;CLIM;IV;LC;0,85;0,89
Passer montanus;Pasmon;Atlas;3634;CLIM_EFAs;IV;LC;0,85;0,96
Passer montanus;Pasmon;Atlas;3634;EFAs;IV;LC;0,93;0,97
Perdix perdix;Perper;Atlas;227;CLIM;II;LC;0,98;0,96
Perdix perdix;Perper;Atlas;227;CLIM_EFAs;II;LC;0,98;0,98
Perdix perdix;Perper;Atlas;227;EFAs;II;LC;0,98;0,93
Periparus ater;Perate;Atlas;3005;CLIM;IV;LC;0,92;0,97
Periparus ater;Perate;Atlas;3005;CLIM_EFAs;IV;LC;0,92;1
Periparus ater;Perate;Atlas;3005;EFAs;IV;LC;0,91;1
Pernis apivorus;Perapi;Atlas;872;CLIM;III;LC;0,9;0,89
Pernis apivorus;Perapi;Atlas;872;CLIM_EFAs;III;LC;0,9;0,99
Pernis apivorus;Perapi;Atlas;872;EFAs;III;LC;0,89;0,98
Petronia petronia;Petpet;Atlas;3485;CLIM;IV;LC;0,89;0,99
Petronia petronia;Petpet;Atlas;3485;CLIM_EFAs;IV;LC;0,87;0,94
Petronia petronia;Petpet;Atlas;3485;EFAs;IV;LC;0,84;0,86
Phalacrocorax aristotelis;Phaari;Atlas;110;CLIM;II;LC;0,99;0,88
Phalacrocorax aristotelis;Phaari;Atlas;110;CLIM_EFAs;II;LC;0,98;0,69
Phalacrocorax aristotelis;Phaari;Atlas;110;EFAs;II;LC;0,95;0,93
Phalacrocorax carbo;Phacar;Atlas;69;CLIM;I;LC;0,88;-0,13
Phalacrocorax carbo;Phacar;Atlas;69;CLIM_EFAs;I;LC;0,95;-0,27
Phalacrocorax carbo;Phacar;Atlas;69;EFAs;I;LC;1;-0,48
Phoenicopterus roseus;Phoros;Atlas;26;CLIM;I;LC;0,98;0,04
Phoenicopterus roseus;Phoros;Atlas;26;CLIM_EFAs;I;LC;0,98;-0,22
Phoenicopterus roseus;Phoros;Atlas;26;EFAs;I;LC;0,95;-0,02
Phoenicurus ochruros;Phooch;Atlas;3886;CLIM;IV;LC;0,92;0,8
Phoenicurus ochruros;Phooch;Atlas;3886;CLIM_EFAs;IV;LC;0,89;0,96
Phoenicurus ochruros;Phooch;Atlas;3886;EFAs;IV;LC;0,87;0,96
Phoenicurus phoenicurus;Phopho;Atlas;694;CLIM;III;LC;0,87;0,72
Phoenicurus phoenicurus;Phopho;Atlas;694;CLIM_EFAs;III;LC;0,87;0,5
Phoenicurus phoenicurus;Phopho;Atlas;694;EFAs;III;LC;0,84;0,6
Phylloscopus bonelli;Phybon;Atlas;2807;CLIM;IV;LC;0,9;0,94
Phylloscopus bonelli;Phybon;Atlas;2807;CLIM_EFAs;IV;LC;0,88;0,94
Phylloscopus bonelli;Phybon;Atlas;2807;EFAs;IV;LC;0,85;0,89
Phylloscopus collybita;Phycol;Atlas;2184;CLIM;IV;LC;0,91;0,31
Phylloscopus collybita;Phycol;Atlas;2184;CLIM_EFAs;IV;LC;0,89;0,28
Phylloscopus collybita;Phycol;Atlas;2184;EFAs;IV;LC;0,88;0,51
Phylloscopus ibericus;Phyibe;Atlas;1609;CLIM;IV;LC;0,92;0,98
Phylloscopus ibericus;Phyibe;Atlas;1609;CLIM_EFAs;IV;LC;0,92;0,89
Phylloscopus ibericus;Phyibe;Atlas;1609;EFAs;IV;LC;0,86;0,86
Phylloscopus sibilatrix;Physib;Atlas;17;CLIM;I;LC;0,98;0,26
Phylloscopus sibilatrix;Physib;Atlas;17;CLIM_EFAs;I;LC;0,99;0,33
Phylloscopus sibilatrix;Physib;Atlas;17;EFAs;I;LC;0,99;0,25
Phylloscopus trochilus;Phytro;Atlas;93;CLIM;I;LC;0,87;-0,48
Phylloscopus trochilus;Phytro;Atlas;93;CLIM_EFAs;I;LC;0,99;-0,5
Phylloscopus trochilus;Phytro;Atlas;93;EFAs;I;LC;1;-0,33
Pica pica;Picpic;Atlas;4747;CLIM;IV;LC;0,88;0,81
Pica pica;Picpic;Atlas;4747;CLIM_EFAs;IV;LC;0,87;0,76
Pica pica;Picpic;Atlas;4747;EFAs;IV;LC;0,84;0,75
Picus viridis;Picvir;Atlas;4980;CLIM;IV;LC;0,87;0,99
Picus viridis;Picvir;Atlas;4980;CLIM_EFAs;IV;LC;0,86;0,99
Picus viridis;Picvir;Atlas;4980;EFAs;IV;LC;0,84;0,89
Platalea leucorodia;Plaleu;Atlas;81;CLIM;I;LC;0,97;0,56
Platalea leucorodia;Plaleu;Atlas;81;CLIM_EFAs;I;LC;0,97;0,56
Platalea leucorodia;Plaleu;Atlas;81;EFAs;I;LC;0,9;0,54
Plegadis falcinellus;Plefal;Atlas;20;CLIM;I;LC;0,96;0,52
Plegadis falcinellus;Plefal;Atlas;20;CLIM_EFAs;I;LC;0,97;0,48
Plegadis falcinellus;Plefal;Atlas;20;EFAs;I;LC;0,96;0,01
Podiceps cristatus;Podcri;Atlas;721;CLIM;III;LC;0,9;0,39
Podiceps cristatus;Podcri;Atlas;721;CLIM_EFAs;III;LC;0,89;0,42
Podiceps cristatus;Podcri;Atlas;721;EFAs;III;LC;0,85;0,6
Podiceps nigricollis;Podnig;Atlas;124;CLIM;II;LC;0,92;0,3
Podiceps nigricollis;Podnig;Atlas;124;CLIM_EFAs;II;LC;0,91;0,35
Podiceps nigricollis;Podnig;Atlas;124;EFAs;II;LC;0,87;0,2
Poecile palustris;Poepal;Atlas;394;CLIM;II;LC;0,99;0,96
Poecile palustris;Poepal;Atlas;394;CLIM_EFAs;II;LC;0,99;0,99
Poecile palustris;Poepal;Atlas;394;EFAs;II;LC;0,97;0,99
Porphyrio porphyrio;Porpor;Atlas;181;CLIM;II;LC;0,95;0,97
Porphyrio porphyrio;Porpor;Atlas;181;CLIM_EFAs;II;LC;0,92;0,86
Porphyrio porphyrio;Porpor;Atlas;181;EFAs;II;LC;0,87;0,54
Porzana porzana;Porporz;Atlas;19;CLIM;I;LC;0,99;-0,22
Porzana porzana;Porporz;Atlas;19;CLIM_EFAs;I;LC;0,98;-0,39
Porzana porzana;Porporz;Atlas;19;EFAs;I;LC;0,95;-0,47
Porzana pusilla;Porpus;Atlas;33;CLIM;I;LC;0,97;0,86
Porzana pusilla;Porpus;Atlas;33;CLIM_EFAs;I;LC;0,97;0,79
Porzana pusilla;Porpus;Atlas;33;EFAs;I;LC;0,98;0,38
Prunella collaris;Prucol;Atlas;197;CLIM;II;LC;0,99;0,89
Prunella collaris;Prucol;Atlas;197;CLIM_EFAs;II;LC;0,98;0,81
Prunella collaris;Prucol;Atlas;197;EFAs;II;LC;0,98;0,76
Prunella modularis;Prumod;Atlas;1603;CLIM;IV;LC;0,98;0,94
Prunella modularis;Prumod;Atlas;1603;CLIM_EFAs;IV;LC;0,97;0,9
Prunella modularis;Prumod;Atlas;1603;EFAs;IV;LC;0,97;0,82
Pterocles alchata;Ptealc;Atlas;488;CLIM;II;LC;0,94;0,98
Pterocles alchata;Ptealc;Atlas;488;CLIM_EFAs;II;LC;0,95;0,99
Pterocles alchata;Ptealc;Atlas;488;EFAs;II;LC;0,92;1
Pterocles orientalis;Pteori;Atlas;913;CLIM;III;EN;0,88;0,72
Pterocles orientalis;Pteori;Atlas;913;CLIM_EFAs;III;EN;0,9;0,86
Pterocles orientalis;Pteori;Atlas;913;EFAs;III;EN;0,88;0,91
Ptyonoprogne rupestris;Ptyrup;Atlas;3137;CLIM;IV;LC;0,85;0,75
Ptyonoprogne rupestris;Ptyrup;Atlas;3137;CLIM_EFAs;IV;LC;0,84;0,81
Ptyonoprogne rupestris;Ptyrup;Atlas;3137;EFAs;IV;LC;0,84;0,84
Pyrrhocorax graculus;Pyrgra;Atlas;252;CLIM;II;LC;0,99;0,96
Pyrrhocorax graculus;Pyrgra;Atlas;252;CLIM_EFAs;II;LC;0,98;0,97
Pyrrhocorax graculus;Pyrgra;Atlas;252;EFAs;II;LC;0,97;0,98
Pyrrhocorax pyrrhocorax;Pyrpyr;Atlas;1851;CLIM;IV;LC;0,89;0,86
Pyrrhocorax pyrrhocorax;Pyrpyr;Atlas;1851;CLIM_EFAs;IV;LC;0,87;0,79
Pyrrhocorax pyrrhocorax;Pyrpyr;Atlas;1851;EFAs;IV;LC;0,83;0,98
Pyrrhula pyrrhula;Pyrpyrr;Atlas;1029;CLIM;IV;LC;0,99;0,91
Pyrrhula pyrrhula;Pyrpyrr;Atlas;1029;CLIM_EFAs;IV;LC;0,99;0,95
Pyrrhula pyrrhula;Pyrpyrr;Atlas;1029;EFAs;IV;LC;0,98;0,9
Rallus aquaticus;Ralaqu;Atlas;958;CLIM;III;LC;0,86;0,62
Rallus aquaticus;Ralaqu;Atlas;958;CLIM_EFAs;III;LC;0,91;0,5
Rallus aquaticus;Ralaqu;Atlas;958;EFAs;III;LC;0,99;0,53
Recurvirostra avosetta;Recavo;Atlas;184;CLIM;II;LC;0,94;0,91
Recurvirostra avosetta;Recavo;Atlas;184;CLIM_EFAs;II;LC;0,92;0,87
Recurvirostra avosetta;Recavo;Atlas;184;EFAs;II;LC;0,9;0,76
Regulus ignicapilla;Regign;Atlas;2706;CLIM;IV;LC;0,93;0,94
Regulus ignicapilla;Regign;Atlas;2706;CLIM_EFAs;IV;LC;0,92;0,99
Regulus ignicapilla;Regign;Atlas;2706;EFAs;IV;LC;0,91;0,98
Regulus regulus;Regreg;Atlas;397;CLIM;II;LC;0,96;0,95
Regulus regulus;Regreg;Atlas;397;CLIM_EFAs;II;LC;0,95;0,98
Regulus regulus;Regreg;Atlas;397;EFAs;II;LC;0,96;0,9
Remiz pendulinus;Rempen;Atlas;659;CLIM;III;LC;0,91;0,75
Remiz pendulinus;Rempen;Atlas;659;CLIM_EFAs;III;LC;0,88;0,81
Remiz pendulinus;Rempen;Atlas;659;EFAs;III;LC;0,85;0,67
Riparia riparia;Riprip;Atlas;1366;CLIM;IV;LC;0,88;0,39
Riparia riparia;Riprip;Atlas;1366;CLIM_EFAs;IV;LC;0,86;0,31
Riparia riparia;Riprip;Atlas;1366;EFAs;IV;LC;0,99;0,64
Saxicola rubetra;Saxrub;Atlas;401;CLIM;II;LC;0,94;0,42
Saxicola rubetra;Saxrub;Atlas;401;CLIM_EFAs;II;LC;0,93;0,87
Saxicola rubetra;Saxrub;Atlas;401;EFAs;II;LC;0,91;0,64
Saxicola torquatus;Saxtor;Atlas;5389;CLIM;IV;LC;0,883;NA
Saxicola torquatus;Saxtor;Atlas;5389;EFAs;IV;LC;0,837;NA
Saxicola torquatus;Saxtor;Atlas;5389;CLIM_EFAs;IV;LC;0,862;NA
Scolopax rusticola;Scorus;Atlas;190;CLIM;II;LC;0,98;0,93
Scolopax rusticola;Scorus;Atlas;190;CLIM_EFAs;II;LC;0,97;0,9
Scolopax rusticola;Scorus;Atlas;190;EFAs;II;LC;0,97;0,77
Serinus serinus;Serser;Atlas;5867;CLIM;IV;LC;0,93;0,85
Serinus serinus;Serser;Atlas;5867;CLIM_EFAs;IV;LC;0,91;0,73
Serinus serinus;Serser;Atlas;5867;EFAs;IV;LC;0,82;0,58
Sitta europaea;Siteur;Atlas;2377;CLIM;IV;LC;0,88;0,98
Sitta europaea;Siteur;Atlas;2377;CLIM_EFAs;IV;LC;0,88;0,96
Sitta europaea;Siteur;Atlas;2377;EFAs;IV;LC;0,86;0,99
Spinus spinus;Spispi;Atlas;103;CLIM;II;LC;0,87;-0,59
